student_index,actual_target,cluster_id,learning_style,weekly_hours,priority,alert
874,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
875,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
876,Dropout,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
877,Dropout,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
878,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
879,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
880,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
881,Graduate,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
882,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
883,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
884,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
885,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
886,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
887,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
888,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
889,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
890,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
891,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
892,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
893,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
894,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
895,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
896,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
897,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
898,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
899,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
900,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
901,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
902,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
903,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
904,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
905,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
906,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
907,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
908,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
909,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
910,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
911,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
912,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
913,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
914,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
915,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
916,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
917,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
918,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
919,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
920,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
921,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
922,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
923,Dropout,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
924,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
925,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
926,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
927,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
928,Enrolled,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
929,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
930,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
931,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
932,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
933,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
934,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
935,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
936,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
937,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
938,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
939,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
940,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
941,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
942,Enrolled,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
943,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
944,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
945,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
946,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
947,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
948,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
949,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
950,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
951,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
952,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
953,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
954,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
955,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
956,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
957,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
958,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
959,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
960,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
961,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
962,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
963,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
964,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
965,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
966,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
967,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
968,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
969,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
970,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
971,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
972,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
973,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
974,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
975,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
976,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
977,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
978,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
979,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
980,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
981,Enrolled,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
982,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
983,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
984,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
985,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
986,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
987,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
988,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
989,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
990,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
991,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
992,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
993,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
994,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
995,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
996,Enrolled,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
997,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
998,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
999,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1000,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1001,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1002,Graduate,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1003,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1004,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1005,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1006,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1007,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1008,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1009,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1010,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1011,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1012,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1013,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1014,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1015,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1016,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1017,Graduate,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
1018,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1019,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1020,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1021,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1022,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1023,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1024,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1025,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1026,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1027,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1028,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1029,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1030,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1031,Enrolled,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1032,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1033,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1034,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1035,Enrolled,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1036,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1037,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1038,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1039,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1040,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1041,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1042,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1043,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1044,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1045,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1046,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1047,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1048,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1049,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1050,Graduate,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1051,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1052,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1053,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1054,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1055,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1056,Dropout,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1057,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1058,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1059,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1060,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1061,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1062,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1063,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1064,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1065,Dropout,2,🔵 Late Bloomer,20,"Maintain improvement momentum, build confidence",🔵 LOW-MEDIUM RISK — Encourage and track trajectory
1066,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1067,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1068,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1069,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1070,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1071,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1072,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1073,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1074,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1075,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1076,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1077,Dropout,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1078,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1079,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1080,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1081,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1082,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1083,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1084,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1085,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1086,Graduate,3,🟢 High Achiever,15,"Advanced topics, research, competitive preparation",✅ LOW RISK — Encourage higher challenges
1087,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1088,Enrolled,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1089,Enrolled,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
1090,Graduate,0,🟡 Average Performer,22,"Build consistency, improve weaker subjects",📊 MEDIUM RISK — Monitor progress bi-weekly
1091,Dropout,1,🔴 Struggling Learner,30,"Catch up on failed units, attend all classes",⚠️ HIGH DROPOUT RISK — Immediate faculty intervention recommended
